reference,hypothesis
車が動きだしてから、四時間もした頃のことです。何か故障のため、車はしばらく停まっていましたが、,車が動き出してから4時間もした頃のことです何か故障になっても車はしばらく止まっていましたが
新しい靴をはいて出かけます。,新しい靴を履いて出かけます。
口には出さなくとも、そのことがわかった。僕もそうだったから。,口には出さなくてもそのことがわかった僕もそうだったから
家族といえども言葉で伝えるのは大事,家族といえども言葉で伝えるのは大事。
生死を共にすることを約束し、共に苦労し努力すること。,
ひいい,いい
こういうのをやらせたら面白そう,こういうのやらせたら面白そう
この目の中に映るものは情熱だけだ,この目の中に映るものは情熱だけだ。
あなたの好きな季節は何ですか？,あなたの好きな季節は何ですか
早くこの課題を終わらせたいです,早くこの課題を終わらせたいです。
あんぽんたん,
あなたの学生番号は偶数ですから、春のみ履修できます。,あなたの化石パンコアブースですから春のミリッシュできます
愛を優しい力と見くびったところから生活の誤謬は始まる。,愛を優しい力と見くびったところから生活の語尾は始まる
松井さんはサッカーより野球のほうが上手です。,松井さんはサッカーより野球の方が上手です
今はそんなに安くもない,今はそんなに安くもない
結果を出す,結果を出す
東京都小金井市,東京都小金井市
運命や社会の不正などを憤って、悲しみ嘆くこと。,運命や社会の不不正を行き通って悲しみ嘆くこと
女の子と仲良くしているとからかわれる年齢だった。,女の子と仲良くしているとからかわれる年齢だった。
映画を見ました。,映画を見ました。
プァルツ語は，ドイツ中西部の、プファルツ地方で話される言語である。,すすすい
中山競馬場,中山系はじめ
新しいお皿を使います。,新しいお皿を使います
私はピシアスを信じている。ピシアスは立派な人だ。決してうそはつかない。もし、万一、あの人のかえりがおくれたとしたら、それは、彼のわるいせいではなく、やむをえない不意の出来ごとが妨げをしたのである。,私はピシアスを信じているピシアスは立派な人だ決して嘘をつかないもし万一あの人の帰りが遅れたとしたらそれは彼の悪いせいではなくやむを得ない不意の出来事が妨げをしたのである
ご飯は美味しい方が好きです。,ご飯は美味しい方が好きです。
長野県豊丘村,長野県豊岡村
一 私わたくしはその人を常に先生と呼んでいた。だからここでもただ先生と書くだけで本名は打ち明けない。これは世間を憚はばかる遠慮というよりも、その方が私にとって自然だからである。私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。筆を執とっても心持は同じ事である。よそよそしい頭文字かしらもじなどはとても使う気にならない。 私が先生と知り合いになったのは鎌倉かまくらである。その時私はまだ若々しい書生であった。暑中休暇を利用して海水浴に行った友達からぜひ来いという端書はがきを受け取ったので、私は多少の金を工面くめんして、出掛ける事にした。私は金の工面に二に、三日さんちを費やした。ところが私が鎌倉に着いて三日と経たたないうちに、私を呼び寄せた友達は、急に国元から帰れという電報を受け取った。電報には母が病気だからと断ってあったけれども友達はそれを信じなかった。友達はかねてから国元にいる親たちに勧すすまない結婚を強しいられていた。彼は現代の習慣からいうと結婚するにはあまり年が若過ぎた。それに肝心かんじんの当人が気に入らなかった。それで夏休みに当然帰るべきところを、わざと避けて東京の近くで遊んでいたのである。彼は電報を私に見せてどうしようと相談をした。私にはどうしていいか分らなかった。けれども実際彼の母が病気であるとすれば彼は固もとより帰るべきはずであった。それで彼はとうとう帰る事になった。せっかく来た私は一人取り残された。,
成功を積み重ねていった、失敗の記憶は薄れていった、頭の中には成功の記憶だけがある,成功を積み重ねていた失敗の記憶は忘れていた頭の中には成功の記憶だけがある
音声認識は難しいですか,音声認識は難しいですか?
おばあちゃんのゲーム攻略法。,おばあちゃんのゲーム攻略法
北海道上川町,
ぬんんん,ぬぬ
あなたを見つけられて良かった,あなたを見つけられてよかった。
サクサクビスケット,
結婚以来三年半ぶりの東京も、旧友とのお酒も、夜行列車も、駅で寝て、朝を待つのも久しぶりだ。,結婚以来3年半ぶりの東京も、給油とのお酒も、夜行列車も、駅で寝て朝を待つのも久しぶりだ。
池袋は埼玉の庭,池袋は埼玉のみだ。
これまで、少年野球、ママさんバレーなど、地域スポーツを支え、市民に密着してきたのは、無数のボランティアだった。,これまで、少年野球、ママサンバレーなど地域スポーツを支え、市民に密着してきたのは無数のボランティアだった。
最初に泊まるのが、ホルトインです。,
靴を脱いで、スリッパをはきます。,靴を脱いでスリッパを履きます。
当時は鴨川の洲に流しの演歌師などがいて,次の動画でお会いしましょう。
今もこうしてあなたを思い続けています．,今もこうしたあなたを思い続けています。
福井県南越前町,福井県南越前町
この部屋の壁は薄いので、小さい声で話します。,この部屋の壁は薄いので、小さい声で話します。
先頭はしかし、先頭はしかしダンスインザダーク。外からフサイチ、外からフサイチ、外からフサイチコンコルド。ダンスインザダーク、内のほうからメイショウジェニエ。先頭はダンスインザダークか。コンコルドだ！コンコルドだ！外から！音速の末脚が炸裂する！フサイチコンコルドォ！,戦闘はしかし戦闘対し断然となく外から塞いで外から塞いで外から塞いで今頃は断然となく口の方から名称時
おめえは今までに鼠を何匹とった事がある,おめえは今までにネズミを何匹とったことがある。
沖縄県浦添市,沖縄県浦添市
この件を村会に提出せざるをえないというはめになったのですが、これはともかくはじめのうちはブルンスウィックのただ一つの成功でした。,この件を損壊に提出せざるを得ないという羽目になったのですが、これはともかく初めのうちはブルーンスウィッグのただ一つの成功でした。
山形県寒河江市,山形県佐賀江市
森林,森林
書類送検,チリソーケ
ホブソンさんは、店を閉めて家に帰った。,ホブソンさんは店を閉めて家に帰った
この山のほとんどが退屈で面白くないものだったけど、たまに困ったものもあった,次に、逆の方法、半端の方法を説明します。
ユウタは奥へ奥へと進むうちに、突然、目の前に小さな光が現れた。,ゆうたは奥へ奥へと進むうちに突然目の前に小さな光が現れた
岐阜県北方町,岐阜県北方町
ストゼロ,
戸外にいるという幸福感がひどく大きかったので、今度は歩いていく道の難儀も我慢できた。もしひとりであったなら、もっとよく歩くこともできたろう。,
山梨県西桂町,山梨県西勝浦町
福島県泉崎村,福岡県泉崎村
求職中にハローワークの面接練習をしたが、職員がきつい質問で心折りにくるのはやめてほしい。,給食中にハローワークの面接練習をしたが職員がきつい質問で心を折りにくるのをやめてほしい
ウォルターは、ジョンのひどい侮辱に面食らった。,ウォルターはジョンのひどい侮辱に面食らった。
何のために彼女を作ろうとしている？,礼をお祈りします
ダーラナ県の県都はファールンである,ラーナナ県の県とはファールンである
速くなるのは気づかないが、遅くなるとすぐわかる,早くなるのは気づかないが、遅くなるとすぐわかる。
なにしろ私はひどく疲れていたので、何かの拍子に、紐が切れて落っこちたのも知らなかったのです。,何しろ私はひどく疲れていたので、何かの拍子に紐が切れて起こしたのかもしれなかったです。
おう、たわけ,おうたわけ
この法律に定めるもののほか、本部に関し必要な事項は、政令で定める。,この法律定める者の方が本部に関して必要な事項は政令で定める
静岡県森町,静岡県森町
運命や社会の不正などを憤って、悲しみ嘆くこと。,運命や社会の不正などを怒って悲しみ嘆くこと
案のじょう、くせ者は塀に行きあたって当惑したらしく、方向をかえて、塀の内がわにそって走りだしました。,案の定クセモノは堀に行き当たって倒悪したらしく方向を変えて堀の内側に沿って走り出しました
聴覚,聴覚
「それに、私が今は病気なものですから、増えていくばっかりでしてね」と、いうと、疲れてはいるが、得意そうにまた身体を横たえた。,それに私が今病気なものですから増えていくばっかりでしてねと言うと疲れてはよがてこいそうにまた彼らは答えた
タクシーで行った方がよいでしょう。,タクシーで行った方が良いでしょう
姉の脚絆を両腕にはめて、浴衣の袖口から覗かせ、,姉のキャハンを両腕にはめて浴衣の袖口から覗かせ
いみわからん,意味わからん
がおー,かお
自分の好きなジャズピアニストの演奏への、震えるような感動を綴る人もいた。,自分の好きなジャズピアニストの演奏への震えるような感動を綴る人もいた
あそこに小さい女の子がいます。,ここに小さな女の子がいます。
どうして退屈な会議中って、あんなにあくびが出るんだろうか。,
妹がまだ帰らないので、母は心配しています。,妹がまだ帰らないので母は心配しています
もう何も怖くない,もう何も怖くない
デビューウェイトはスーパーバンタム級ではなくフェザー級だった,デビューウェイトはスーパーバンダム級ではなくフェザー級だった。
悪者などがはびこり、勝手気ままに振る舞うこと。,悪者などがはびこり勝った気ままに振る舞うこと
なんで！,なんで?
常に「ヒュー・ジョン」として知られています。,常にフュージョンとして知られています
僕はポケットからハンカチを取り出し、額の汗を拭う,僕はポケットからハンカチを取り出し、額の汗を拭う。
こんな話、ってそのための話し相手でしょ。,
北海道中頓別町,北海道中東別町
素晴らしい！ありがとう,素晴らしい。ありがとう。
コアラの脳は、その体のサイズに対して非常に小さい。,なのでもうAIDをするということになった時点で誰のかわからない性質一応でも安全面ではかなり保障されている性質
症状は最も激烈で、適切な治療が速やかに要求される。,症状は最も激烈で、適切な治療が速やかに要求される。
歩いていく,各社会が同じ代に生まれたこと
ペンシルベニア州フィラデルフィアの郊外ウィンウッドのランケナウ病院で生まれた,ペンシルベニア州フィラデルフィアの郊外ウィンウッドのランケナウ病院で生まれた。
運命や社会の不正などを憤って、悲しみ嘆くこと。,運命や社会の不正などを生き残って悲しみ嘆くこと
運命や社会の不正などを憤って、悲しみ嘆くこと。,運命や社会の不正などを行き通って悲しみ嘆くこと
私を信じてくれるの,私を信じてくれるの
バーレーンの首都はマナーマである,バーレーンの首都はマナーマである
すべて人は、憲法又は法律によって与えられた基本的権利を侵害する行為に対し、権限を有する国内裁判所による効果的な救済を受ける権利を有する。,全て人は憲法または法律によって与えられた基本的人権を侵害する行為に対し、権限を有する国内裁判所により効果的な救済を受ける権利を有する。
次の角を右に曲がります。,次の角を右に曲がります。
読書は心を豊かにしてくれる大切な時間です。,読書は心を豊かにしてくれる大切な時間です
今日は、データサイエンス入門の授業を受けた。とても楽しかった。またやりたい。そういえば、明日は学校が休みだ。なにをしようか迷うな。そうだ。友達と一緒にサッカーをしよう。でも明日は、雨だからやめておこう。,今日はデータサイエンス入門の授業を受けた。とても楽しかった。またやりたい。そういえば明日は学校が休みだ。何をしようか迷うな。そうだ、友達と一緒にサッカーをしよう。でも明日は雨だからやめておこう。
その映画は感動的でした。,その映画は感動的でした。
壁はぬりかえなければなりませんか。,壁は塗り替えなければなりませんか
七夕の日に、短冊へ願い事を書くのはどうして始まったんだろう。,七夕の日に短冊へ願い事書くのはどうして始まったのだろう
僕は飛べる！僕は飛べる！僕は飛べる！僕は飛べる！僕は飛べる！僕は飛べる！僕は飛べる！,僕は飛べる、僕は飛べる、僕は飛べる。
文の追加ができません。,
なぜ生きていなければならないのか。,なぜ生きていなければならないのか
はち,ハッ
その翌朝のこと、店の戸をあけていた店員たちが、何か大さわぎをしていますので、行ってみますと、正面のショーウィンドーのガラスの、まんなかに、,
よろしくお願いいたします。,よろしくお願いいたします
ちょっと待ってて,ちょっと待ってて
けれども小猿は、急いで手帳をしまって、今度は手を膝の上で組み合せながら云いました。,けれども小猿は急いで手帳をしまって今度は手を膝の上で組み合わせながら言いました
野原がひらけているならば、使者はどんなに飛ぶように走ったことだろう。やがて君はきっと彼の拳こぶしが君の戸口をたたくすばらしい音を聞いたことだろう。,野原が開けているならば取捨はどんなに飛ぶように走ったことだろうやがて君はきっと彼の拳が君の戸口を叩く素晴らしいことを聞いたことだろう
わたしと遊びましょう。,私と遊びましょう
福岡県糸田町,福岡県伊都田町
やっほー,やっほー
十分に空気を通し、ストーブにはたっぷり火が入っており、床はぞうきんがけがしてあって、ベッドは整えられ、,十分に空気を通しストーブにはたっぷり火が入っており床は雑巾掛けをしてあってベッドは整えられ
美しいもの、すばらしいものが満ち溢れていることのたとえ。,美しいもの素晴らしいものが満ち溢れていることのたとえ
ひざまずいて、両手を高く差し上げ、天を仰いで大声で、二言、三言話しかけました。そして、ポケットから、金貨の入った財布を取り出して、,ひさまずいて両手を高く差し上げ天を仰いで大声で二言三言話しかけましたそしてポケットから金貨が入った財布を取り出して
悪者などがはびこり、勝手気ままに振る舞うこと。,悪者などがはびこり勝手気ままに振る舞うこと
いま人間に必要なのは、自分さえよければいい、という、欲望や、狭い心ではありません。,今人間に必要なのは自分さえ良ければいいという欲望や狭い心ではありません
私は勉強熱心です,私は勉強熱心です。
Ｔシャツの脇と襟元と背中が汗で湿った,
コンピューターのスイッチを入れます。,コンピューターのスイッチを入れます。
悪事をかさねた報いが子孫にまで及ぶこと。「積悪」は数々の悪い行い、悪事の積み重ね。「余殃」は祖先の悪事の報いとして子孫にまで残るわざわい。,もしかしてそれ日本語じゃなくて英語にしてる?
目が悪いので、眼鏡をかけます。,目が悪いので眼鏡をかけます
① 回転寿司市場で成功,回転寿司市場で成功
神奈川県川崎市は神奈川県の北部に位置しています。,神奈川県川崎市は神奈川県の北部に位置しています。
広場の近くまで来ると、広場から煙が上がっているのが見えた,広場の近くまで来ると広場から煙が上がっているのが見えた。
新しいぬいぐるみをプレゼントする。,新しい縫い組みをプレゼントする
外国語を勉強するのは難しいです。,外国語を勉強するのは難しいです
友達とカフェでおしゃべりするのが好きです。,友達とカフェでおしゃべりするのが好きです
わたしは警官に名前を聞かれました。,私は警官に名前を聞かれました
チャンに後ほど、電話をさせましょうか。,
私はみんなテーブルの上の椅子に乗せて、ちょうど私と向き合うように坐らせました。そのまわりには、見張りの兵もついていました。,私はみんなテーブルの上の椅子に乗せてちょうど私と向き合うように
過去と未来とが自己矛盾的に、,アコとミライトが自己矛盾的に。
よりどころがまったくないこと。,寄り所が全くないこと
富士急過呼吸,富士急過去急
今日に限って手抜いてすいませんでした。次はちゃんとやります,今日に限って手抜いてすいませんでした次はちゃんとやります
なぜですか,
消えた村人たち,消えた村人たち
煮っ転がしは家庭料理です。,ニッコロンシェ家庭料理です
割れんばかりの拍手,我連ばかりの拍手
れい,はい
形あるものは破壊され、原型を崩し、バラバラになり、消え去っていた,形あるものは破壊され原型を崩しバラバラになり消え去っていった
最近全然会ってくれないね。,最近全然会ってくれないね。
二十面相は、頭の中がこんぐらかって、何がなんだかわけがわからなくなってしまいました。フラフラと目まいがして、今にもたおれそうな気持です。,
はよせい,おやすみなさい
パラー州の州都はベレンである,パラー州の州都はウェレンである。
静岡県湖西市,静岡県小西市
文章は寄贈しているつもりであるが話すことが未だにできていない状態である。改善を求める。,文章は寄贈しているつもりであるが、話すことがいまだにできていない状態である。改善を求める。
運命や社会の不正などを憤って、悲しみ嘆くこと。,運命や社会の不正などを起こって悲しみ嘆くこと
日が昇る瞬間を見ながら散歩する,日が昇る瞬間を見ながら散歩する。
宮城県へ行く,宮城県へ行く
日本の校則は厳しすぎる,日本の校則は厳しすぎる
えすダンスアカデミー,Sダンスアカデミー
自己自身をイデヤ的に形成し行く世界は、超越的なるものにおいて自己同一をもつ世界である。,自己自治のイデア的に形成しゆく世界は、超越的なるものにおいて自己同一を持つ世界である。
入りましたね。,入りましたね
もつ鍋,もつ鍋
それならなぜクラムボンはわらったの。,それならなぜクラムボンは笑ったの?
しかのみならず、我々の作為そのものが物の世界から起こる。,しかのみならず我々の作為そのものがものの世界から起こる
あけましておめでとうございます今年もよろしくお願いします,明けましておめでとうございます今年もよろしくお願いします
